"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Document Type","Publication Stage","Open Access","Source","EID"
"Shivam P.; Narayan P.","Shivam, Pant (58698585200); Narayan, Panigrahi (58093795900)","58698585200; 58093795900","3D Visualization of Terrain Surface for Enhanced Spatial Mapping and Analysis","2024","IFIP Advances in Information and Communication Technology","684 AICT","","","49","63","14","0","10.1007/978-3-031-45882-8_4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176926804&doi=10.1007%2f978-3-031-45882-8_4&partnerID=40&md5=ed0d775259862ae77bf95da64ce12e09","Visualization of terrain surface finds many applications indifferent area of earth sciences, GIS, and geomatics. With advent of advanced computer graphic algorithms and their HPC implementation through GPU, realistic and high-fidelity visualization of terrain surface is possible. Geographic Information Science (GIS) has made considerable strides since the introduction of 3D terrain visualization facilitating accurate visualization, analysis and measurement of geospatial events and attributes. This paper discusses the significance of different terrain visualization techniques with a special emphasis on 3D visualization. How 3D terrain visualization is useful in photogrammetry, LiDAR, and aerial imagery, maps can generate detailed models of terrains, buildings, and objects. These techniques enable users to explore geographic features from various angles, zoom in for detailed analysis, and even simulate virtual environments. The applications of 3D maps are diverse and far-reaching. In virtual reality, they can create immersive environments for training, simulations, and gaming. In remote sensing, they aid in understanding natural resources, urban planning, and disaster management. In scientific visualization, they enable researchers to analyze complex spatial data and model real-world phenomena. In GIS, 3D maps enhance spatial analysis, decision-making, and communication of geospatial information. In conclusion, the evolution of 3D maps in GIS has revolutionized how geographic information is visualized and analyzed, with potential applications in various domains. Advancements in technology continue to drive the development of 3D maps, transforming how we perceive and interact with spatial data, making it more realistic and meaningful. © 2024, IFIP International Federation for Information Processing.","Conference paper","Final","","Scopus","2-s2.0-85176926804"
"Dai X.; Hong Y.","Dai, Xiaoqun (8588255900); Hong, Yan (57191070440)","8588255900; 57191070440","Fabric mechanical parameters for 3D cloth simulation in apparel CAD: A systematic review","2024","CAD Computer Aided Design","167","","103638","","","","0","10.1016/j.cad.2023.103638","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85177225141&doi=10.1016%2fj.cad.2023.103638&partnerID=40&md5=9b2ecb5368d2fe0cea631c95a9888524","The primary objective of 3D virtual garment simulation within apparel CAD systems is to generate a highly realistic garment that accurately conform to the human body. However, due to the complexity of textile mechanics, variations in measurement technology, and the absence of standardized units of mechanical parameters, there exists considerable confusion surrounding the implementation of mechanical parameters in cloth simulation. Consequently, the accuracy of cloth simulation varies significantly among different apparel CAD systems. This research article aims to enhance the understanding of the fabric mechanical behaviors, measurement techniques, and parameters essential for cloth simulation. To achieve this objective, we first present a concise overview of current garment simulation in apparel CAD systems, focusing on the utilized mechanical parameters and methods for simulation accuracy evaluation. Subsequently, we delve into the fundamental principles of mechanical behavior, discussing measurement methodologies and proposing parameter unifications along with appropriate data ranges. Finally, we conduct a comprehensive review of cloth models and the requisite parameters, while also exploring simulation-based approaches for parameter estimation. This work provides crucial insights into fabric mechanical parameters essential for achieving accurate 3D virtual garment simulation. The findings and information presented herein can be effectively utilized to enhance the precision and fidelity of apparel CAD systems, thereby facilitating advancements in virtual garment design and production. © 2023 Elsevier Ltd","Article","Final","","Scopus","2-s2.0-85177225141"
"Ozsahin M.T.; Kalecik S.; Toker O.; Kurucu Y.; İcelli O.","Ozsahin, M.T. (58672687300); Kalecik, S. (55789334100); Toker, O. (57202340458); Kurucu, Y. (6603367475); İcelli, O. (55900600100)","58672687300; 55789334100; 57202340458; 6603367475; 55900600100","An alternative approach for determining the effective atomic number of some compounds: Monte Carlo study","2024","Radiation Physics and Chemistry","215","","111378","","","","0","10.1016/j.radphyschem.2023.111378","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85175312194&doi=10.1016%2fj.radphyschem.2023.111378&partnerID=40&md5=71f08c57c2c63bc9147edde1635bd44e","Researchers have been searching for different methods to determine the effective atomic number of materials for many years. Therefore, there are many methods in the literature to determine the effective atomic number theoretically or experimentally. While theoretical methods neglect some parameters, such as the momentum transfer parameter, photon energy, or scattering angle, experimental methods have incommodious processes. The main goal of this study is to provide a practical simulation method that is both as realistic as experimental results and as easy as theoretical methods. The method considers all these parameters compared to other theoretical methods and transfers them to the virtual environment. In this study, Rayleigh and Compton scattering peaks of 60 pure elements (in the range 20< Z <80) were determined. Rayleigh and Compton peak ratios were correlated with their atomic numbers. The proposed method is available for any energy or scattering angle. Six different compounds (WC, W65Cu35, SnAg, Fe54Co17Ni29, Pd94Cr6, Cu60Zn40) were selected from different atomic number regions (such as low, medium, and high regions). It is important to note that any material (compound or mixture) could be selected. Validation of the method has been performed via different methods commonly used in the literature. It is observed that the results of this method are in good agreement with other methods in the literature. We are expecting that the proposed method will provide great convenience and guidance to researchers in this area. © 2023 Elsevier Ltd","Article","Final","","Scopus","2-s2.0-85175312194"
"Pisani S.; Miller A.; Morrison M.","Pisani, Sharon (57816074900); Miller, Alan (6603837411); Morrison, Màiri (58698845500)","57816074900; 6603837411; 58698845500","Digitising the Cultural Landscape of North Uist","2024","Communications in Computer and Information Science","1904 CCIS","","","397","407","10","0","10.1007/978-3-031-47328-9_29","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176951701&doi=10.1007%2f978-3-031-47328-9_29&partnerID=40&md5=b16378f2d8f8c9b9a2ff93a33b27bf73","North Uist lies in the Western Isles, at the heart of the vernacular Gaelic community. The area is rich in heritage, with unique archaeological sites accompanied by artefacts, stories, poems, and songs about local legends or contemporary accounts of past events. Many are available in English, but are at their most expressive and authentic in the original Gaelic. Currently, there is a crisis in the vernacular community; decade-on-decade reductions in the numbers of people using Gaelic in their day-to-day lives presents an urgent problem for the community. The recent revolution in the way that digital technologies are being used offers innovative opportunities to preserve the ‘Cultural Landscape’, to make it more widely available, and indeed to contribute to its development. Capturing this requires the representation of the landscape that provides the setting for North Uist’s heritage. Emergent immersive and mobile technologies offer the possibility of integrating digital representations of these elements into the Gaelic medium, with the goal of capturing vernacular interpretation of Uist heritage, ensuring that Gaelic expression is part of emergent media and that the transmission of heritage and language is authentic. © 2024, The Author(s), under exclusive license to Springer Nature Switzerland AG.","Conference paper","Final","","Scopus","2-s2.0-85176951701"
"Fernes D.; Oberdörfer S.; Latoschik M.E.","Fernes, David (57223654981); Oberdörfer, Sebastian (57192160404); Latoschik, Marc Erich (6602976914)","57223654981; 57192160404; 6602976914","Work, Trade, Learn: Developing an Immersive Serious Game for History Education","2024","Communications in Computer and Information Science","1904 CCIS","","","379","396","17","0","10.1007/978-3-031-47328-9_28","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176916824&doi=10.1007%2f978-3-031-47328-9_28&partnerID=40&md5=a6ad2728529bf3fd54da6f98b26f819b","History education often struggles with a lack of interest from students. Serious games can help make learning about history more engaging. Students can directly experience situations of the past as well as interact and communicate with agents representing people of the respective era. This allows for situated learning. Besides using computer screens, the gameplay can also be experienced using immersive Virtual Reality (VR). VR adds an additional spatial level and can further increase the engagement as well as vividness. To investigate the benefits of using VR for serious games targeting the learning of history, we developed a serious game for desktop-3D and VR. Our serious game puts a player into the role of a medieval miller’s apprentice. Following a situated learning approach, the learner operates a mill and interacts with several other characters. These agents discuss relevant facts of the medieval life, thus enabling the construction of knowledge about the life in medieval towns. An evaluation showed that the game in general was successful in increasing the user’s knowledge about the covered topics as well as their topic interest in history. Whether the immersive VR or the simple desktop version of the application was used did not have any influence on these results. Additional feedback was gathered to improve the game further in the future. © 2024, The Author(s), under exclusive license to Springer Nature Switzerland AG.","Conference paper","Final","","Scopus","2-s2.0-85176916824"
"Kim D.; Choi M.; Um J.","Kim, Dongjun (58563395400); Choi, Minho (58563395500); Um, Jumyung (24478065300)","58563395400; 58563395500; 24478065300","Digital twin for autonomous collaborative robot by using synthetic data and reinforcement learning","2024","Robotics and Computer-Integrated Manufacturing","85","","102632","","","","0","10.1016/j.rcim.2023.102632","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85169783666&doi=10.1016%2fj.rcim.2023.102632&partnerID=40&md5=7e124fd048255c43ed97b63486e27565","Training robots in real-world environments can be challenging due to time and cost constraints. To overcome these limitations, robots can be trained in virtual environments using Reinforcement Learning (RL). However, this approach faces a significant challenge in obtaining suitable data. This paper proposes a novel method for training collaborative robots in virtual environments using synthetic data and the point cloud framework. The proposed method is divided into four stages: data generation, 3D object classification, robot training, and integration. The first stage of the proposed method is data generation, where synthetic data is generated to resemble real-world scenarios. This data is then used to train robots in virtual environments. The second stage is 3D object classification, where the generated data is used to classify objects in 3D space. In the third stage, robots are trained using RL algorithms, which are based on the generated data and the 3D object classifications. Finally, the effectiveness of the proposed method is integrated in the fourth stage. This proposed method has the potential to be a significant contribution to the field of robotics and 3D computer vision. By using synthetic data and the point cloud framework, the proposed method offers an efficient and cost-effective solution for training robots in virtual environments. The ability to reduce the time and cost required for training robots in real-world environments is a major advantage of this proposed method, and has the potential to revolutionize the field of robotics and 3D computer vision. © 2023 Elsevier Ltd","Article","Final","","Scopus","2-s2.0-85169783666"
"Romero R.; Cecotti H.","Romero, Rogelio (58698599400); Cecotti, Hubert (8838569700)","58698599400; 8838569700","A Multimodal Document Viewer in Fully Immersive Virtual Reality","2024","Communications in Computer and Information Science","1904 CCIS","","","300","310","10","0","10.1007/978-3-031-47328-9_23","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176915698&doi=10.1007%2f978-3-031-47328-9_23&partnerID=40&md5=02e4d178b5245945cf224156ea9e5eb3","Immersive learning using fully immersive virtual reality (VR) is typically utilized to present 3D objects that cannot be represented easily on a computer screen. In the last few decades, the use of e-books to visualize documents has become prevalent. However, transferring an original document designed to be printed requires extraction of the document’s logical structure. The document must be broken down into fragments of text and images with the extraction of its logical structure. The fragments are then recomposed together to be presented as an e-book. In this paper, we propose a novel paradigm where documents can be presented in their original form without the need to be physically restructured, thanks to VR. With a VR headset, the proposed document visualizer allows users to access, display, and annotate documents. Such a system is particularly relevant for students and scholars in the humanities who investigate ancient documents where the distinct elements composing the document are intertwined. Furthermore, VR technology enhances the accessibility and equity of learning by offering various input modalities. © 2024, The Author(s), under exclusive license to Springer Nature Switzerland AG.","Conference paper","Final","","Scopus","2-s2.0-85176915698"
"Liu Y.; Wang B.; Zhang F.; Guan B.","Liu, Yudong (57422072000); Wang, Bingxin (57768007200); Zhang, Feng (57210896839); Guan, Baolu (9745937500)","57422072000; 57768007200; 57210896839; 9745937500","High-power and high-quality Gaussian beam in VCSEL via anisotropic modes control","2024","Optics and Laser Technology","170","","110163","","","","0","10.1016/j.optlastec.2023.110163","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174727427&doi=10.1016%2fj.optlastec.2023.110163&partnerID=40&md5=7c70d4295219cff37e499fafada1978a","Gaussian beam in the vertical cavity surface emitting laser (VCSEL) has important application in 3D sensing and optical communications, due to its concentrate energy at center and long propagation distance. However, its beam quality under high power tends to be serious degradation and become annular hollow distribution, severely limiting the use of VCSEL. Here, the anisotropic elliptical oxide aperture VCSEL (AEOA-VCSEL) was designed to achieve high-power Gaussian beam with high-quality via anisotropic modes control. The saturation output power reached up to 8.2 mW under low injection current, to our best knowledge, which was the highest power generated in single VCSEL device. Moreover, the AEOA-VCSEL can control the output beam profile only by adjusting injection current, and could also homogenize the mode spacing among adjacent high-order modes. The facile preparation process and low cost makes the device present great potential in augmented and virtual reality (AR/VR), 3D sensing and optical communications. © 2023 Elsevier Ltd","Article","Final","","Scopus","2-s2.0-85174727427"
"Xie L.; Liu C.","Xie, Lei (58694787200); Liu, Chang (57441986900)","58694787200; 57441986900","3D City Modeling on Infrastructure Construction Using Digital Twin","2024","Computer-Aided Design and Applications","21","S12","","1","18","17","0","10.14733/cadaps.2024.S12.1-18","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176552624&doi=10.14733%2fcadaps.2024.S12.1-18&partnerID=40&md5=9c3ea001a546ab8a816229a802f87092","With the acceleration of global informatization, digital twin (DT) technology is gradually infiltrating into all fields of urban infrastructure construction. Technologies based on CAD (Computer aided design) and VR (Virtual reality) provide strong support for DT cities, and provide new ideas for realizing sustainable development and intelligent governance of cities. Based on CAD and VR, this article discusses the implementation method and framework of infrastructure construction in DT cities. A 3D city modeling algorithm based on CAD and VR is proposed. Through the DT modeling and real-time monitoring of urban infrastructure, intelligent management and efficient operation of urban infrastructure can be realized, and the efficiency and safety of urban operation can be improved. The research shows that the accuracy of the proposed algorithm can reach about 95.61% under the condition of continuous iteration. Moreover, the F1-score of the algorithm can reach 95.99%. The results show that the algorithm in this article has certain reliability. Generally speaking, this research provides useful reference and enlightenment for the infrastructure construction of DT cities based on CAD and VR. © 2024 U-turn Press LLC, http://www.cad-journal.net.","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85176552624"
"Vinitskiy D.; Yatluk L.; Goryushko S.; Blagov E.; Lukashkin S.; Tribunskaya E.; Speransky R.K.","Vinitskiy, Dmitriy (57208032510); Yatluk, Lidia (57221443579); Goryushko, Sergey (58698448900); Blagov, Evgeny (55522757400); Lukashkin, Sergey (58698845600); Tribunskaya, Evgeniya (58698176000); Speransky, Rostislav K. (58698710100)","57208032510; 57221443579; 58698448900; 55522757400; 58698845600; 58698176000; 58698710100","Role of Adaptation Phase in Educational Results of Virtual Reality Communication Training for Managers","2024","Communications in Computer and Information Science","1904 CCIS","","","453","465","12","0","10.1007/978-3-031-47328-9_33","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176947177&doi=10.1007%2f978-3-031-47328-9_33&partnerID=40&md5=5e9a1ac88a10b91c7bc6905a0830f85e","Adaptation to new devices and interfaces is actively studied by user experience and human-computer interaction specialists but is typically neglected by organizers and researchers of corporate training with virtual reality. The study tests how the adaptation phase to technology affects the educational outcome and cognitive load. For the study, 102 people (35.3 ± 11.2 years old), including students and working managers, were trained to give feedback to a colleague. They were divided into three groups: general adaptation, specialized adaptation for communication training, and no adaptation. EEG was used to measure cognitive load score. As a result, it was found that both groups with pre-adaptation showed higher educational outcomes and experienced less cognitive load during the main training. No difference was found between the types of adaptation. © 2024, The Author(s), under exclusive license to Springer Nature Switzerland AG.","Conference paper","Final","","Scopus","2-s2.0-85176947177"
"Xia X.; Ma Y.; Wei W.","Xia, Xingfei (58695222900); Ma, Yuxiao (58696218700); Wei, Wei (58696218800)","58695222900; 58696218700; 58696218800","Design Method of Electric Bicycle Traffic Signs Using Particle Swarm Optimization with Convolutional Neural Network","2024","Computer-Aided Design and Applications","21","S12","","145","158","13","0","10.14733/cadaps.2024.S12.145-158","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176815991&doi=10.14733%2fcadaps.2024.S12.145-158&partnerID=40&md5=76e19e7041a7730f2110fc16c4573684","In order to study the application of computer aided design (CAD) and virtual reality (VR) in the design of traffic signs for electric bicycles, this article combines particle swarm optimization (PSO) with convolutional neural network (CNN) to better understand and utilize the data and characteristics in VR modeling, so that designers can fully consider the effects of signs in the actual environment at the design stage. The article analyze the expressive ability and detection performance of the algorithm for traffic sign image processing, compare the classification accuracy of PSO-CNN, CNN and long-term and short-term memory (LSTM) models under different types of traffic signs, test the processing time of traffic sign features by different methods, and test the user satisfaction. The experimental results show that PSO-CNN model has higher accuracy and shorter processing time in traffic sign image classification, and users have higher evaluation on its interactive ability and user experience. This article verifies the superior performance of PSO-CNN model in traffic sign image processing through experiments. © 2024 U-turn Press LLC, http://www.cad-journal.net.","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85176815991"
"Heinemann B.; Schroeder U.","Heinemann, Birte (57204048897); Schroeder, Ulrik (24434093700)","57204048897; 24434093700","Learning Analytics and Classroom Management in Specialized Environments: Enhancing the VR Classroom for CS Teacher Education","2024","Communications in Computer and Information Science","1904 CCIS","","","37","52","15","0","10.1007/978-3-031-47328-9_3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176930509&doi=10.1007%2f978-3-031-47328-9_3&partnerID=40&md5=5330c3de1d41c53ff11898f84d6065eb","The teachers’ attention is an important factor in managing a classroom effectively. It affects students’ learning outcomes and is different for novice and experienced teachers. However, teaching classroom management, especially for specialized subjects like computer science where specific equipment is necessary, can be challenging. Moreover, it is difficult to provide real-life training opportunities as lessons cannot be repeated and experimentation time is very limited. This is particularly problematic for novice teachers and teacher students. To address this and support this issue, virtual reality and immersive learning can be used to simulate classroom scenarios and provide (data-driven and personal) feedback to pre-service teachers. In this paper, the subject-specific dimensions of computer science classroom management are discussed and a virtual computer lab for training purposes is proposed. Additionally, the potential of learning analytics to help learners reflect on their experiences is theory-led derived. The developments presented can be used to examine subject-specific differences between computer science and other subjects, as well as cultural differences between teachers around the world and differences between novices and more experienced teachers. © 2024, The Author(s), under exclusive license to Springer Nature Switzerland AG.","Conference paper","Final","","Scopus","2-s2.0-85176930509"
